Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Illinois,78.29%,"2,639","$7,357,346,988",3.03%,-27.72%
Adams County,76.47%,34,"$43,077,313",3.55%,-29.22%
Alexander County,100.00%,1,"$1,584,845",-3.34%,-98.09%
Bond County,66.67%,3,"$860,927",1.86%,-9.43%
Boone County,88.89%,9,"$3,341,347",-3.39%,-62.37%
Brown County,80.00%,5,"$603,213",-12.11%,-33.18%
Bureau County,81.82%,11,"$9,634,202",6.99%,-26.76%
Carroll County,100.00%,3,"$737,347",-6.03%,-9.68%
Cass County,100.00%,3,"$5,332,784",-0.62%,-96.87%
Champaign County,74.19%,62,"$60,808,712",5.94%,-20.48%
Christian County,0.00%,3,"$699,682",75.79%,65.02%
Clark County,66.67%,3,"$2,460,837",8.94%,-23.06%
Clay County,0.00%,1,"$39,000",4.36%,2.82%
Clinton County,40.00%,5,"$1,001,068",7.84%,2.39%
Coles County,81.25%,16,"$17,376,200",5.57%,-33.68%
Cook County,80.35%,"1,252","$4,333,621,795",2.69%,-31.08%
Crawford County,66.67%,3,"$2,728,748",23.54%,-25.87%
Cumberland County,100.00%,3,"$643,597",12.24%,-13.55%
De Witt County,75.00%,4,"$449,256",13.47%,-12.08%
DeKalb County,81.82%,22,"$36,688,370",7.38%,-35.00%
Douglas County,66.67%,3,"$375,873",-3.17%,-30.78%
DuPage County,60.14%,148,"$189,992,151",6.34%,-8.96%
Edgar County,66.67%,3,"$359,031",-6.69%,-14.59%
Edwards County,100.00%,1,"$590,933",1.55%,-67.68%
Effingham County,100.00%,9,"$29,405,146",1.52%,-59.85%
Fayette County,33.33%,3,"$1,138,534",2.38%,0.19%
Ford County,100.00%,2,"$343,207",8.96%,-13.60%
Franklin County,100.00%,4,"$13,631,900",-5.51%,-81.86%
Fulton County,100.00%,6,"$3,337,552",6.17%,-36.31%
Greene County,100.00%,2,"$574,999",0.91%,-16.66%
Grundy County,60.00%,5,"$1,946,414",-0.12%,-6.54%
Hancock County,50.00%,4,"$2,220,969",3.39%,-3.52%
Hardin County,100.00%,1,"$1,519,423",9.41%,-38.21%
Henderson County,50.00%,2,"$3,946,980",4.66%,-23.81%
Henry County,88.89%,9,"$1,856,993",0.77%,-51.83%
Iroquois County,100.00%,8,"$3,933,313",1.59%,-46.85%
Jackson County,55.56%,18,"$33,864,564",17.76%,-19.66%
Jasper County,100.00%,1,"$78,308",-12.09%,-44.42%
Jefferson County,100.00%,11,"$20,968,303",-5.84%,-58.03%
Jersey County,100.00%,1,"$57,486",-14.17%,-32.11%
Jo Daviess County,33.33%,9,"$3,506,790",21.89%,5.24%
Johnson County,100.00%,1,"$9,462,798",-10.07%,-70.18%
Kane County,85.33%,75,"$828,678,345",1.08%,-18.35%
Kankakee County,76.47%,17,"$13,858,523",-0.93%,-59.95%
Kendall County,66.67%,6,"$1,748,002",7.18%,-10.66%
Knox County,70.00%,20,"$11,142,938",1.53%,-10.42%
LaSalle County,64.00%,25,"$17,236,477",2.74%,-25.24%
Lake County,74.63%,67,"$138,512,663",6.48%,-20.78%
Lawrence County,100.00%,1,"$222,921",-22.21%,-74.87%
Lee County,75.00%,8,"$2,856,447",12.48%,-12.46%
Livingston County,57.14%,7,"$3,753,198",8.03%,-22.44%
Logan County,77.78%,9,"$15,314,486",4.78%,-13.38%
Macon County,88.89%,36,"$37,937,042",-2.38%,-47.08%
Macoupin County,83.33%,6,"$13,356,702",2.81%,-22.35%
Madison County,77.55%,49,"$57,808,914",2.81%,-23.05%
Marion County,83.33%,6,"$7,265,833",5.29%,-23.92%
Marshall County,87.50%,8,"$1,990,865",5.33%,-44.44%
Mason County,66.67%,3,"$426,828",-2.74%,-4.84%
Massac County,100.00%,4,"$1,445,215",-2.87%,-84.12%
McDonough County,88.89%,9,"$11,783,821",7.30%,-9.81%
