SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-16,-2,26,0,"$406,290,821",22.29%,8.13%,7.23%,5.422%,8.434%,332
ART,-42,0,80,0,"$27,044,245",18.75%,15.18%,5.36%,3.571%,3.571%,112
EDU,-2,0,16 752,0,"$205,606,226",13.07%,4.52%,2.01%,3.015%,9.045%,199
ENV,-6,0,2,0,"$38,949,612",25.00%,4.17%,6.94%,2.778%,4.167%,72
HEL,-46,0,78,0,"$152,842,835",24.38%,4.37%,7.50%,3.125%,6.875%,160
HMS,-60,0,44,0,"$226,860,134",18.11%,8.01%,6.57%,5.449%,8.494%,624
HOS,-52,0,0,0,"$77,113,359",48.78%,9.76%,2.44%,2.439%,4.878%,41
IFA,16,2,6,0,"$77,123,238",25.00%,4.17%,4.17%,8.333%,4.167%,24
MMB,,,14,14,$0,50.00%,50.00%,50.00%,50.000%,50.000%,2
PSB,-48,0,30,0,"$77,666,620",8.24%,6.04%,6.04%,5.495%,6.593%,182
REL,-20,0,18,0,"$5,469,624",9.09%,5.45%,0.91%,1.818%,3.636%,110
UNI,-8,-8,,,"$75,680,112",56.25%,18.75%,12.50%,18.750%,6.250%,16
UNU,-60,-6,2,2,"$827,793",25.00%,12.50%,12.50%,12.500%,25.000%,8
