SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",2,0,52,0,"$1,168,083,550",24.277%,10.116%,5.636%,6.214%,6.36%,692
ART,-90,0,26,0,"$106,907,595",24.497%,13.423%,9.060%,5.705%,3.69%,298
EDU,-502,0,8,0,"$572,303,416",19.335%,4.990%,2.287%,4.574%,14.14%,481
ENV,-360,0,50,2,"$384,155,220",24.606%,9.779%,2.524%,5.994%,7.57%,317
HEL,92,0,20,0,"$402,400,796",24.579%,9.764%,4.377%,6.061%,5.39%,297
HMS,-12,0,28,0,"$1,085,174,208",20.279%,7.833%,6.266%,7.050%,7.75%,1149
HOS,24,6,6,6,"$92,513,660",55.000%,5.000%,5.000%,5.000%,10.00%,20
IFA,-4,0,62,0,"$788,571,166",15.068%,2.740%,2.740%,2.740%,2.74%,73
MMB,-26,-20,574,574,$0,33.333%,33.333%,33.333%,33.333%,33.33%,3
PSB,-26,0,11 262,0,"$340,123,623",17.353%,7.059%,7.059%,3.235%,6.76%,340
REL,-10,0,36,0,"$17,393,053",18.657%,5.224%,1.493%,4.478%,0.75%,134
UNI,-4,-6,,,"$921,107,404",68.421%,15.789%,10.526%,5.263%,5.26%,19
UNU,28,2,0,0,"$9,117,181",9.091%,18.182%,9.091%,9.091%,18.18%,11
