SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-1 134,0,-206,0,"$384,224,225",25.00%,11.310%,7.14%,16.07%,7.738%,168
ART,-2,0,0,0,"$61,676,496",17.65%,17.647%,19.12%,10.29%,5.882%,68
EDU,-16,0,14,0,"$423,968,512",14.93%,5.224%,2.24%,8.96%,15.672%,134
ENV,-6,0,6,0,"$1,123,725,415",29.73%,18.919%,5.41%,13.51%,2.703%,37
HEL,8,2,4,0,"$67,501,179",22.41%,10.345%,12.07%,8.62%,10.345%,58
HMS,-50,2,28,0,"$326,334,844",15.30%,9.964%,12.81%,13.17%,10.676%,281
HOS,-10,-6,0,0,"$75,397,562",37.50%,25.000%,12.50%,12.50%,12.500%,8
IFA,-8,0,770,0,"$3,483,404",8.70%,8.696%,8.70%,4.35%,8.696%,23
MMB,,,0,0,$0,100.00%,100.000%,100.00%,100.00%,100.000%,1
PSB,-6,0,52,0,"$58,598,615",13.08%,5.607%,3.74%,6.54%,5.607%,107
REL,-16,0,30,0,"$1,154,679",5.56%,5.556%,5.56%,5.56%,5.556%,36
UNI,-10,-12,0,0,"$561,161,977",57.14%,14.286%,28.57%,14.29%,14.286%,7
UNU,-2,-2,,,"$13,809,053",100.00%,50.000%,50.00%,50.00%,100.000%,2
