state,expense_category,mean_proportion_govt_grant,median_proportion_govt_grant,median_govt_grant,mean_govt_grant,number_nonprofits
AK,Between $100K and $499K,0.07,0,0,20005.56,74
AK,Between $1M and $4.99M,0.17,0.07,216246,422311.14,7
AK,Between $500K and $999K,0.34,0.21,136859,365883.81,16
AK,Between $5M and $9.99M,0,0,0,0,1
AK,Less than $100K,0.01,0,0,362,200
AL,Between $100K and $499K,0.14,0,0,39058.95,290
AL,Between $1M and $4.99M,0.09,0,0,209746.97,60
AL,Between $500K and $999K,0.11,0,0,80801.93,102
AL,Between $5M and $9.99M,0.04,0,0,30993.8,5
AL,Greater than $10M,0.14,0,0,2814739.2,10
AL,Less than $100K,0.02,0,0,2255.17,906
AR,Between $100K and $499K,0.12,0,0,36019.9,166
AR,Between $1M and $4.99M,0.13,0,0,319260,33
AR,Between $500K and $999K,0.16,0,0,110626.56,34
AR,Between $5M and $9.99M,0,0,0,0,1
AR,Greater than $10M,0,0,0,37659.33,3
AR,Less than $100K,0.01,0,0,939.92,521
AZ,Between $100K and $499K,0.04,0,0,15785.11,298
AZ,Between $1M and $4.99M,0.06,0,0,177906.12,66
AZ,Between $500K and $999K,0.09,0,0,55062.07,81
AZ,Between $5M and $9.99M,0.22,0,0,1683368.5,8
AZ,Greater than $10M,0.07,0,0,2355967.43,7
AZ,Less than $100K,0,0,0,3627.04,1020
CA,Between $100K and $499K,0.05,0,0,14837.83,2095
CA,Between $1M and $4.99M,0.08,0,0,226517.43,477
CA,Between $500K and $999K,0.07,0,0,50602.65,563
CA,Between $5M and $9.99M,0.04,0,0,269648.69,52
CA,Greater than $10M,0.07,0,0,1260941.91,46
CA,Less than $100K,0,0,0,279.22,6834
CO,Between $100K and $499K,0.07,0,0,20486.54,589
CO,Between $1M and $4.99M,0.11,0,0,229019.37,164
CO,Between $500K and $999K,0.09,0,0,62782.14,177
CO,Between $5M and $9.99M,0.16,0.03,200792.5,1236408.59,22
CO,Greater than $10M,0.12,0,0,3354375.08,13
CO,Less than $100K,0.01,0,0,701.23,1537
CT,Between $100K and $499K,0.05,0,0,14470.7,291
CT,Between $1M and $4.99M,0.06,0,0,120147.53,59
CT,Between $500K and $999K,0.01,0,0,9447.27,67
CT,Between $5M and $9.99M,0.04,0,0,278804.67,12
CT,Greater than $10M,0.15,0,0,3697064.11,9
CT,Less than $100K,0.01,0,0,2435.6,841
DC,Between $100K and $499K,0.07,0,0,21607.79,175
DC,Between $1M and $4.99M,0.06,0,0,126686.88,78
