SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-46,-2,64,0,"$1,004,335,517",18.76%,8.470%,5.186%,6.22%,10.03%,1157
ART,-20,-2,8,0,"$142,127,833",24.09%,10.682%,10.000%,2.95%,3.41%,440
EDU,-14,0,12,0,"$1,570,720,998",17.80%,4.348%,2.730%,2.22%,16.28%,989
ENV,-20,0,22,0,"$93,857,643",22.05%,6.522%,4.658%,1.24%,3.11%,322
HEL,4,0,84,0,"$462,959,636",18.93%,6.260%,4.275%,3.97%,5.80%,655
HMS,-46,0,36,0,"$1,030,607,033",17.57%,7.625%,6.310%,5.61%,11.44%,2282
HOS,-1 512,0,28,0,"$494,886,169",30.00%,6.000%,10.000%,6.00%,4.00%,50
IFA,178,0,12,0,"$35,037,494",10.85%,1.550%,1.550%,0.78%,2.33%,129
MMB,42,46,0,0,"$1,222,609",37.50%,12.500%,12.500%,12.50%,25.00%,8
PSB,-80,0,1 336,0,"$1,575,500,650",12.03%,6.171%,4.430%,3.48%,4.75%,632
REL,-36,0,98,0,"$84,938,416",11.82%,3.695%,2.217%,0.99%,1.23%,406
UNI,0,-4,14,0,"$3,362,810,884",52.63%,14.035%,5.263%,1.75%,1.75%,57
UNU,-4,0,8,8,"$33,857,973",34.62%,3.846%,7.692%,7.69%,7.69%,26
