SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-50,0,18,0,"$261,992,276",28.42%,8.42%,5.789%,4.211%,11.053%,190
ART,-34,-4,226,0,"$68,626,235",23.91%,13.04%,4.348%,4.348%,6.522%,46
EDU,-12,0,34,0,"$132,617,315",27.38%,1.19%,1.190%,2.381%,5.952%,84
ENV,-12,-4,2,0,"$6,305,841",25.71%,5.71%,5.714%,11.429%,8.571%,35
HEL,-4,-2,16,0,"$44,311,623",29.09%,10.00%,6.364%,2.727%,3.636%,110
HMS,-220,0,16,0,"$99,346,670",24.09%,5.28%,7.591%,4.290%,5.281%,303
HOS,-2,-2,,,"$86,780,884",67.86%,10.71%,3.571%,3.571%,3.571%,28
IFA,,,6,10,$0,20.00%,20.00%,20.000%,20.000%,20.000%,5
MMB,-32,-32,0,0,$0,25.00%,25.00%,25.000%,25.000%,25.000%,4
PSB,-10,0,22,0,"$36,951,266",17.98%,6.74%,5.618%,3.371%,3.371%,89
REL,-12,0,30,0,"$3,240,805",37.04%,3.70%,3.704%,7.407%,3.704%,27
UNI,-14,-14,,,"$98,963,850",80.00%,20.00%,20.000%,20.000%,40.000%,5
UNU,8,12,,,"$830,280",66.67%,16.67%,33.333%,16.667%,16.667%,6
