SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",2,0,40,0,"$1,504,619,181",22.16%,9.85%,2.6515%,3.5985%,7.386%,528
ART,0,-2,2,0,"$72,643,368",38.55%,10.24%,6.6265%,3.0120%,1.205%,166
EDU,-16,0,69 490,0,"$89,574,995",15.16%,5.48%,2.5806%,1.6129%,3.871%,310
ENV,-264,0,6,0,"$24,741,250",22.50%,5.83%,2.5000%,1.6667%,5.833%,120
HEL,2,0,72,0,"$569,621,933",21.93%,8.55%,1.4870%,4.8327%,6.320%,269
HMS,654,0,48,0,"$400,078,339",19.55%,6.06%,4.7030%,4.8267%,5.693%,808
HOS,32,0,,,"$201,390,463",55.32%,10.64%,6.3830%,2.1277%,2.128%,47
IFA,-4,0,6,0,"$1,964,704",19.15%,4.26%,2.1277%,4.2553%,2.128%,47
MMB,-56,-56,0,0,$0,25.00%,25.00%,25.0000%,25.0000%,25.000%,4
PSB,-44,0,38,0,"$289,905,503",11.74%,4.63%,2.4911%,4.2705%,6.406%,281
REL,-10,0,10,0,"$9,402,232",11.92%,1.32%,0.6623%,1.9868%,2.649%,151
UNI,-12,-12,2,0,"$668,973,670",48.15%,11.11%,11.1111%,3.7037%,3.704%,27
UNU,2,-2,0,0,"$1,082,496",33.33%,33.33%,33.3333%,66.6667%,66.667%,3
