SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",0,0,0,0,"$95,383,642",33.33%,7.58%,7.576%,6.06%,9.091%,66
ART,-32,-2,12,2,"$10,336,661",41.07%,12.50%,7.143%,1.79%,5.357%,56
EDU,-4,0,166,0,"$11,090,544",23.64%,9.09%,5.455%,7.27%,5.455%,55
ENV,-20,0,520,0,"$5,987,547",20.00%,10.00%,4.000%,4.00%,4.000%,50
HEL,-4,0,32,0,"$103,977,897",19.12%,14.71%,10.294%,4.41%,11.765%,68
HMS,-10,0,6,0,"$121,232,445",26.70%,6.82%,3.977%,5.68%,5.682%,176
HOS,108,108,,,$0,100.00%,100.00%,100.000%,100.00%,100.000%,1
IFA,0,0,6,0,"$13,193,322",20.00%,10.00%,10.000%,20.00%,10.000%,10
MMB,,,0,0,$0,100.00%,100.00%,100.000%,100.00%,100.000%,1
PSB,-16,0,6,0,"$28,175,736",16.36%,12.73%,5.455%,12.73%,3.636%,55
REL,,,0,0,$0,33.33%,33.33%,33.333%,33.33%,33.333%,3
UNI,-8,-8,0,0,"$2,833,754",80.00%,20.00%,20.000%,20.00%,20.000%,5
UNU,-2,0,,,"$1,225,208",50.00%,50.00%,50.000%,50.00%,100.000%,2
