state,subsector,mean_proportion_govt_grant,median_proportion_govt_grant,median_govt_grant,mean_govert_grant,number_nonprofits
AK,ART,0,0,0,1576.67,21
AK,ENV,0.09,0,0,57288.66,32
AK,HEL,0.04,0,0,117159.88,17
AK,HMS,0.09,0,0,71860.74,65
AK,IFA,0,0,0,0,3
AK,MMB,0.07,0.08,6770,9083,3
AK,PSB,0.06,0,0,24670.31,36
AK,REL,0,0,0,0,19
AK,UNI,0,0,0,0,18
AK,UNU,0.03,0,0,10770.74,84
AL,ART,0.11,0,0,33841.76,59
AL,EDU,0,0,0,0,2
AL,ENV,0.07,0,0,73903.43,53
AL,HEL,0.05,0,0,92457.47,79
AL,HMS,0.09,0,0,94332.79,365
AL,HOS,0,0,0,0,3
AL,IFA,0,0,0,0,28
AL,MMB,0,0,0,0,16
AL,PSB,0.03,0,0,13305.92,157
AL,REL,0.01,0,0,5301.42,135
AL,UNI,0.05,0,0,29282.91,110
AL,UNU,0.05,0,0,23932.33,366
AR,ART,0,0,0,1178.24,41
AR,ENV,0.05,0,0,8817.84,38
AR,HEL,0.12,0,0,57981.45,40
AR,HMS,0.07,0,0,49202.32,194
AR,HOS,0.33,0,0,123388.33,3
AR,IFA,0,0,0,0,14
AR,MMB,0,0,0,0,19
AR,PSB,0.06,0,0,20917.03,84
AR,REL,0.02,0,0,1031.38,78
AR,UNI,0.05,0,0,57270.12,51
AR,UNU,0.03,0,0,16825.66,196
AZ,ART,0.02,0,0,5828.32,82
AZ,EDU,0,0,0,0,2
AZ,ENV,0.01,0,0,10658.2,122
AZ,HEL,0.02,0,0,59098.39,115
AZ,HMS,0.04,0,0,81246.39,397
AZ,HOS,0,0,0,0,1
AZ,IFA,0,0,0,0,34
AZ,MMB,0,0,0,0,14
AZ,PSB,0.01,0,0,25733,144
AZ,REL,0.01,0,0,1379.67,120
AZ,UNI,0.01,0,0,9081.16,117
AZ,UNU,0.02,0,0,26787.48,332
CA,ART,0.03,0,0,11978.32,855
CA,EDU,0,0,0,218.75,16
CA,ENV,0.03,0,0,66297.43,603
CA,HEL,0.02,0,0,30259.06,551
CA,HMS,0.03,0,0,41059.05,2649
CA,HOS,0,0,0,0,18
CA,IFA,0.01,0,0,9450.76,325
CA,MMB,0,0,0,0,77
CA,PSB,0.02,0,0,11590.7,1086
CA,REL,0,0,0,1409.07,984
CA,UNI,0.01,0,0,8303.99,799
CA,UNU,0.01,0,0,19495.27,2101
CO,ART,0.06,0,0,36884.35,194
CO,EDU,0,0,0,0,3
CO,ENV,0.04,0,0,122085.46,196
CO,HEL,0.03,0,0,35663.3,161
CO,HMS,0.04,0,0,84434.39,628
CO,HOS,0.49,0.66,5130609,4183227,3
CO,IFA,0.01,0,0,1872.87,61
CO,MMB,0.05,0,0,12761.83,18
CO,PSB,0.05,0,0,38311.02,295
CO,REL,0.01,0,0,6753.5,199
CO,UNI,0.03,0,0,21453.86,205
CO,UNU,0.03,0,0,22017.02,537
CT,ART,0.05,0,0,47505.09,88
CT,ENV,0.01,0,0,4218.34,89
CT,HEL,0.03,0,0,12611.47,72
CT,HMS,0.04,0,0,127552.13,338
CT,IFA,0.05,0,0,10125,22
CT,MMB,0,0,0,0,19
CT,PSB,0.01,0,0,4823.91,106
CT,REL,0.02,0,0,681.96,47
CT,UNI,0,0,0,1088.07,90
CT,UNU,0.01,0,0,3270.71,408
DC,ART,0.08,0,0,30442.26,76
DC,EDU,0,0,0,0,3
DC,ENV,0.05,0,0,293426.26,24
DC,HEL,0.01,0,0,47560.95,40
DC,HMS,0.06,0,0,88645.79,134
DC,IFA,0.1,0,0,1581905.53,58
DC,MMB,0,0,0,27524.44,9
DC,PSB,0.03,0,0,22668.69,162
DC,REL,0,0,0,0,28
DC,UNI,0.02,0,0,119658.64,66
DC,UNU,0.02,0,0,378619.6,123
DE,ART,0.07,0,0,35072.17,23
DE,ENV,0.11,0,0,39594.53,17
DE,HEL,0.04,0,0,13725.58,24
DE,HMS,0.14,0,0,181576.06,108
DE,HOS,0,0,0,0,1
DE,IFA,0,0,0,0,11
DE,MMB,0,0,0,0,1
DE,PSB,0.04,0,0,78698.59,59
DE,REL,0,0,0,0,29
DE,UNI,0.01,0,0,16301.96,23
DE,UNU,0.05,0,0,53450.47,109
FL,ART,0.03,0,0,9499.69,384
FL,EDU,0,0,0,0,12
