SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",4,0,8,0,"$334,925,521",24.24%,12.626%,11.11%,9.09%,10.10%,198
ART,-12,0,86,0,"$57,318,606",23.26%,11.628%,11.63%,12.79%,2.33%,86
EDU,0,0,120,0,"$40,742,570",17.39%,5.797%,2.90%,11.59%,11.59%,69
ENV,0,2,80,0,"$18,221,279",19.75%,12.346%,4.94%,7.41%,9.88%,81
HEL,-54,0,14,0,"$76,787,383",25.29%,12.644%,12.64%,12.64%,8.05%,87
HMS,-12,-2,44,0,"$123,500,184",18.05%,11.654%,10.15%,8.27%,9.40%,266
HOS,150,-2,2,2,"$21,063,265",75.00%,50.000%,25.00%,25.00%,25.00%,4
IFA,-84,0,0,0,"$140,761",22.22%,22.222%,11.11%,11.11%,11.11%,9
MMB,-44,-44,,,"$37,000",100.00%,100.000%,100.00%,100.00%,100.00%,1
PSB,-62,0,94,0,"$135,256,745",18.18%,15.584%,7.79%,15.58%,16.88%,77
REL,-20,-14,2,0,"$4,055,383",10.71%,7.143%,3.57%,3.57%,3.57%,28
UNI,-72,-72,0,0,"$4,996,067",50.00%,100.000%,50.00%,50.00%,50.00%,2
UNU,-22,-22,,,"$630,830",50.00%,50.000%,100.00%,50.00%,50.00%,2
