state,subsector,median_months_cash_on_hand,number_nonprofits
AK,ART,7.35,88
AK,EDU,7.03,5
AK,ENV,5.78,101
AK,HEL,5.58,94
AK,HMS,3.96,317
AK,HOS,5.12,10
AK,IFA,3.18,10
AK,MMB,0,14
AK,PSB,4.92,140
AK,REL,3.91,30
AK,UNI,4.02,65
AK,UNU,4.74,438
AL,ART,4.83,173
AL,EDU,6.67,31
AL,ENV,5.19,135
AL,HEL,4.33,266
AL,HMS,3.91,1044
AL,HOS,5.91,30
AL,IFA,2.29,41
AL,MMB,0,26
AL,PSB,6.33,409
AL,REL,3.26,191
AL,UNI,2.75,349
AL,UNU,3.41,1254
AR,ART,5.56,116
AR,EDU,5.27,25
AR,ENV,8.78,70
AR,HEL,2.7,183
AR,HMS,3.02,695
AR,HOS,3.99,65
AR,IFA,2.45,26
AR,MMB,0.25,19
AR,PSB,4.87,230
AR,REL,2.47,104
AR,UNI,3.65,217
AR,UNU,4.57,680
AZ,ART,5.84,233
AZ,EDU,5.05,26
AZ,ENV,4.46,229
AZ,HEL,4.38,338
AZ,HMS,3.77,1088
AZ,HOS,7.38,36
AZ,IFA,4.7,68
AZ,MMB,0,31
AZ,PSB,5.41,484
AZ,REL,2.83,193
AZ,UNI,4.21,668
AZ,UNU,4.61,1056
CA,ART,4.38,2475
CA,EDU,5.61,231
CA,ENV,4.48,1521
CA,HEL,4.45,2226
CA,HMS,3.34,8196
CA,HOS,5.03,208
CA,IFA,4.48,702
CA,MMB,0,281
CA,PSB,4.23,3514
CA,REL,1.7,1447
CA,UNI,4.03,3864
CA,UNU,2.87,8954
CO,ART,5.89,448
CO,EDU,6.38,21
CO,ENV,4.49,396
CO,HEL,4.85,472
CO,HMS,4.39,1771
CO,HOS,5.34,47
CO,IFA,2.95,158
CO,MMB,0,37
CO,PSB,5.06,726
CO,REL,1.85,330
CO,UNI,2.77,830
CO,UNU,4.53,1831
CT,ART,8.15,321
CT,EDU,6.4,29
CT,ENV,6.15,190
CT,HEL,3.91,345
CT,HMS,4.41,1120
CT,HOS,4.2,53
CT,IFA,4.16,59
CT,MMB,0,53
CT,PSB,6.78,378
CT,REL,1.27,84
CT,UNI,5.85,472
CT,UNU,4.47,1694
DC,ART,5.12,324
DC,EDU,9.18,25
DC,ENV,4.69,223
DC,HEL,5.96,309
DC,HMS,5.26,753
DC,HOS,4.05,8
DC,IFA,4.41,404
DC,MMB,0,49
DC,PSB,5.41,1110
DC,REL,3.64,58
DC,UNI,6.41,495
DC,UNU,6.71,1223
DE,ART,6.44,80
DE,EDU,0,7
DE,ENV,5.58,40
DE,HEL,3.12,79
DE,HMS,6.74,324
DE,HOS,12.3,15
DE,IFA,7.54,22
DE,MMB,0,9
DE,PSB,3.52,151
DE,REL,0.38,38
DE,UNI,2.36,128
DE,UNU,5.35,335
FL,ART,3.68,809
FL,EDU,3.28,79
FL,ENV,3.64,635
FL,HEL,3.92,1061
FL,HMS,3.27,3525
FL,HOS,5.22,120
FL,IFA,2.2,296
FL,MMB,0,114
FL,PSB,4.9,1486
FL,REL,0.69,775
FL,UNI,1.57,1579
FL,UNU,3.5,3588
GA,ART,5.06,363
GA,EDU,5.03,56
GA,ENV,5.48,266
GA,HEL,3.97,522
GA,HMS,3.47,1991
GA,HOS,4.03,108
GA,IFA,3.06,154
GA,MMB,0,52
GA,PSB,6.35,821
GA,REL,1.32,496
GA,UNI,3.85,853
GA,UNU,4.86,1820
HI,ART,2.53,149
HI,EDU,3.66,9
HI,ENV,2.02,118
HI,HEL,3.28,112
HI,HMS,4.82,344
HI,HOS,9.63,14
HI,IFA,6.09,20
HI,MMB,0,23
HI,PSB,3.48,172
HI,REL,0,37
HI,UNI,4.78,146
HI,UNU,3.73,474
IA,ART,4.57,246
IA,EDU,2.59,45
IA,ENV,6.98,124
IA,HEL,4.72,254
IA,HMS,4.36,1014
IA,HOS,8.6,70
IA,IFA,4.12,30
IA,MMB,0,61
IA,PSB,6.45,471
IA,REL,4.38,93
IA,UNI,2.83,291
IA,UNU,3.84,1632
ID,ART,3.97,82
ID,EDU,0.95,7
ID,ENV,5.33,95
ID,HEL,5.91,92
ID,HMS,5.36,361
ID,HOS,5.35,20
