SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-2,0,4,0,"$339,689,660",19.186%,12.79%,3.488%,4.651%,9.30%,172
ART,-58,-2,2,0,"$4,789,002",36.667%,13.33%,3.333%,1.667%,1.67%,60
EDU,-22,0,16,0,"$353,273,043",11.798%,1.69%,2.247%,2.247%,33.71%,178
ENV,28,0,2,0,"$20,129,373",29.545%,7.95%,3.409%,1.136%,5.68%,88
HEL,12,2,72,0,"$46,687,274",16.484%,4.40%,7.692%,2.198%,8.79%,91
HMS,96,0,472,0,"$72,054,545",20.137%,7.85%,4.778%,3.754%,3.75%,293
HOS,-2,-4,190,190,"$20,011,564",47.059%,5.88%,5.882%,5.882%,5.88%,17
IFA,4,0,4,0,"$8,314,896",27.273%,9.09%,4.545%,4.545%,4.55%,22
MMB,,,0,0,$0,100.000%,100.00%,100.000%,100.000%,100.00%,1
PSB,-14,0,22,0,"$25,648,489",16.495%,4.12%,1.031%,10.309%,2.06%,97
REL,0,0,0,0,"$926,593",21.818%,1.82%,1.818%,1.818%,1.82%,55
UNI,-10,-8,,,"$12,276,934",100.000%,33.33%,33.333%,33.333%,33.33%,3
UNU,,,0,0,"$148,575",100.000%,100.00%,100.000%,100.000%,100.00%,1
