SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",2,0,84,0,"$1,052,186,311",22.19%,10.66%,7.205%,3.75%,12.10%,347
ART,-4 104,-18,6,0,"$30,367,458",20.59%,22.06%,8.824%,7.35%,4.41%,68
EDU,-334,0,24,0,"$59,470,033",12.96%,5.56%,2.778%,2.78%,6.48%,108
ENV,34,0,12,0,"$18,971,091",27.27%,4.55%,6.061%,3.03%,9.09%,66
HEL,0,0,152,0,"$241,946,997",19.12%,8.82%,8.088%,5.15%,6.62%,136
HMS,-34,-2,62,0,"$355,047,563",17.48%,7.89%,9.168%,11.09%,17.48%,469
HOS,-38,2,13 092,17 136,"$47,863,540",40.00%,6.67%,3.333%,3.33%,3.33%,30
IFA,-24,2,14,0,$0,20.00%,20.00%,20.000%,20.00%,20.00%,5
MMB,,,,,$0,100.00%,100.00%,100.000%,100.00%,100.00%,1
PSB,-30,2,18,0,"$229,495,873",9.21%,5.26%,7.237%,3.95%,11.18%,152
REL,-544,-4,4,0,"$8,455,555",14.63%,2.44%,7.317%,2.44%,2.44%,41
UNI,-2,-2,0,0,"$23,333,928",66.67%,8.33%,8.333%,8.33%,8.33%,12
UNU,0,0,28,44,$0,25.00%,25.00%,25.000%,25.00%,25.00%,4
